Epochs,loss,acc,val_loss,val_acc
1,4.17214,0.08741,3.98536,0.09112
2,3.57066,0.15153,3.79418,0.125
3,3.2754,0.19881,4.1355,0.14486
4,2.97634,0.25442,3.74796,0.16647
5,2.72691,0.30914,3.57325,0.191
6,2.4746,0.36701,3.53675,0.21145
7,2.26434,0.41105,3.74976,0.21379
8,2.0715,0.45264,3.85602,0.18458
9,1.88545,0.49809,3.58478,0.2354
10,1.72557,0.53601,3.5426,0.25935
11,1.5733,0.57394,3.51338,0.26694
12,1.45099,0.60761,3.65801,0.26928
13,1.35648,0.63074,3.57023,0.2868
14,1.23005,0.6605,3.66602,0.28972
15,1.13796,0.68219,4.047,0.27921
16,1.06495,0.70425,4.03265,0.28563
